id,created_at,supplier,ekspedisi,total_koli,total_ongkir
119,2026-03-11T04:06:09+00:00,RTO/RTR SDA,LALA MOVE,8,279000
120,2026-04-29T06:51:23+00:00,SM SPORT,BARAKA EXPRESS,1,84000
121,2026-05-02T07:29:00+00:00,KNR,BARAKA EXPRESS,1,79000
122,2026-05-03T07:21:59+00:00,RTO SDA,LALA MOVE,5,123500
123,2026-05-04T14:23:45+00:00,DUMBELL,BY SUPPLIER,2,25000
125,2026-05-06T07:05:06+00:00,UNO SPORT,BARAKA EXPRESS,1,58000
129,2026-05-10T05:54:47+00:00,EXC,BARAKA EXPRESS,1,39000
130,2026-05-10T05:55:19+00:00,EXCEED,BARAKA EXPRESS,1,39000
131,2026-05-08T05:56:17+00:00,JERC,BARAKA EXPRESS,1,131000
132,2026-05-08T05:56:56+00:00,KNR,BARAKA EXPRESS,1,89000
133,2026-05-11T07:52:29+00:00,LIZ SPORT,BARAKA EXPRESS,1,63000
134,2026-05-13T07:50:51+00:00,EXCEED,BARAKA EXPRESS,1,39000
135,2026-05-13T07:53:52+00:00,DENS SPORT,BARAKA EXPRESS,1,89000
136,2026-05-13T07:54:25+00:00,WEMBLEY,BARAKA EXPRESS,1,47000
137,2026-05-13T07:54:50+00:00,ODDYSEY,BARAKA EXPRESS,1,58000
138,2026-05-15T06:58:28+00:00,WEMBLEY,BARAKA EXPRESS,1,42000
139,2026-05-15T06:59:10+00:00,NERO,BARAKA EXPRESS,1,110000
140,2026-05-15T06:59:35+00:00,KNR,BARAKA EXPRESS,1,120000
141,2026-05-17T06:22:12+00:00,EXC,BARAKA EXPRESS,1,50000
142,2026-05-17T06:22:39+00:00,UNO SPORT,BARAKA EXPRESS,1,151000
143,2026-05-18T10:32:09+00:00,AND SPORT,BARAKA EXPRESS,1,39000
144,2026-05-18T10:32:35+00:00,DENS SPORT,BARAKA EXPRESS,1,39000
145,2026-05-18T10:33:01+00:00,LIZ SPORT,BARAKA EXPRESS,1,198000
340,2026-01-08T17:53:00+00:00,ODYSEY,BARAKA EXPRESS,1,36000
147,2026-05-21T08:31:38+00:00,KNR,BARAKA EXPRESS,1,110000
148,2026-05-21T08:32:07+00:00,DENS SPORT,BARAKA EXPRESS,1,68000
149,2026-05-21T08:33:24+00:00,SAVIOR,WAHANA EXPRESS,1,14000
150,2026-05-22T08:33:57+00:00,SM SPORT,BARAKA EXPRESS,1,36000
151,2026-05-23T06:56:11+00:00,LIZ SPORT,BARAKA EXPRESS,1,136000
152,2026-05-25T10:18:43+00:00,SM SPORT,BARAKA EXPRESS,1,99000
153,2026-05-25T10:19:12+00:00,KINESIO,BARAKA EXPRESS,1,119000
154,2026-05-25T10:19:48+00:00,DENS SPORT,BARAKA EXPRESS,1,73000
155,2026-05-27T09:19:24+00:00,UNKNOWN,DUMBELL,1,15000
156,2026-05-28T09:26:24+00:00,ODDYSEY,BARAKA EXPRESS,1,33000
157,2026-05-28T09:26:53+00:00,UNO SPORT,BARAKA EXPRESS,1,193000
159,2026-05-31T14:16:08+00:00,SGS,BARAKA ECPRESS,1,24000
160,2026-05-31T14:16:30+00:00,KNR,BARAKA EXPRESS,1,99000
161,2026-06-01T14:20:30+00:00,JERC,BARAKA EXPRESS,1,99000
162,2026-06-01T14:20:54+00:00,LIZ SPORT,BARAKA EXPRESS,1,36000
163,2026-06-01T14:21:16+00:00,KNR,BARAKA EXPRESS,1,39000
164,2026-06-01T14:21:44+00:00,NERO,BARAKA EXPRESS,1,131000
165,2026-06-01T14:22:10+00:00,SM SPORT,BARAKA EXPRESS,1,28000
166,2026-06-01T14:22:35+00:00,DENS SPORT,BARAKA EXPRESS,1,53000
167,2026-06-03T04:37:29+00:00,MIKASA,J&T CARGO,1,32000
168,2026-06-04T07:44:32+00:00,KNR,BARAKA EXPRESS,1,39000
169,2026-06-04T07:44:56+00:00,UZ SPORT,BARAKA EXPRESS,1,115000
170,2026-06-04T07:45:19+00:00,UNO SPORT,BARAKA EXPRESS,1,84000
171,2026-06-08T07:44:58+00:00,DENS SPORT,BARAKA EXPRESS,1,146000
172,2026-06-11T07:45:28+00:00,KNR,BARAKA EXPRESS,1,58000
173,2026-06-11T07:45:53+00:00,NERO,BARAKA EXPRESS,1,79000
174,2026-06-11T07:47:01+00:00,PUSAT GROSIR SURABAYA,J&T,1,4000
175,2026-05-29T07:53:52+00:00,RTO SEMARANG,ACCESS,1,40000
176,2026-05-20T07:54:29+00:00,RETUR MILLS (RTO),ACCESS,2,100000
177,2026-04-05T07:55:13+00:00,RTO SEMARANG,ADEX,47,1775000
179,2026-05-08T07:58:34+00:00,RTO HUB JAKARTA,ADEX,20,1456000
180,2026-05-16T07:59:55+00:00,RTO SEMARANG,ADEX,41,1255000
181,2026-06-28T08:00:49+00:00,RTO SEMARANG,ADEX,14,463000
182,2026-05-28T08:02:48+00:00,RTO HUB JAKARTA,ADEX,5,342000
183,2026-05-28T08:03:59+00:00,RTO MALANG,ADEX,6,156000
184,2026-06-11T08:34:14+00:00,UNO,BARAKA EXPRESS,1,50000
185,2026-06-11T08:34:36+00:00,LIZ SPORT,BARAKA EXPRESS,1,99000
186,2026-06-11T08:35:02+00:00,EXCEED,BARAKA EXPRESS,1,28000
187,2026-06-11T08:35:27+00:00,JERC,BARAKA EXPRESS,1,36000
188,2026-06-12T13:24:57+00:00,UNO SPORT,BARAKA EXPRESS,1,30000
189,2026-06-12T13:25:45+00:00,APMA DAPMA SENTOSA,BARAKA SENTOSA,1,35000
190,2026-06-13T13:26:14+00:00,JERC,BARAKA EXPRESS,1,39000
191,2026-06-13T13:26:37+00:00,UNO SPORT,BARAKA EXPRESS,1,30000
192,2026-06-14T06:24:35+00:00,NERO,BARAKA EXPRESS,1,30000
198,2026-06-17T06:28:53+00:00,EXCEED,BARAKA EXPRESS,1,39000
200,2026-06-19T06:30:15+00:00,LIZ SPORT,BARAKA EXPRESS,1,36000
201,2026-06-19T06:30:55+00:00,NERO,BARAKA EXPRESS,1,36000
202,2026-06-19T06:31:23+00:00,EXC,BARAKA EXPRESS,1,42000
203,2026-06-20T06:32:15+00:00,EXCEED,BARAKA EXPRESS,1,81000
204,2026-06-21T06:33:21+00:00,LIZ SPORT,BARAKA EXPRESS,1,47000
